date_time,wind_speed,wind_dir,temp,rh,pm_10,pm_2.5
2014/01/01 0h,2.1,316,11,70,77,49
2014/01/01 1h,1.7,315,11,71,76,48
2014/01/01 2h,2.4,318,11,74,79,47
2014/01/01 3h,2.5,319,10,75,84,53
2014/01/01 4h,2.9,299,10,77,99,59
2014/01/01 5h,2.8,106,10,71,111,63
2014/01/01 6h,3.2,95,11,67,108,63
2014/01/01 7h,3.2,55,11,67,100,63
2014/01/01 8h,3.9,51,11,66,89,58
2014/01/01 9h,4.3,64,12,61,77,48
2014/01/01 10h,4.4,51,13,55,66,41
2014/01/01 11h,3.5,52,13,55,61,40
2014/01/01 12h,2.6,57,14,51,62,43
2014/01/01 13h,3.5,51,14,45,65,44
2014/01/01 14h,2.5,74,14,49,60,42
2014/01/01 15h,3.3,51,14,48,57,39
2014/01/01 16h,2.6,44,13,56,64,37
2014/01/01 17h,2.3,44,13,63,65,41
2014/01/01 18h,2.2,37,12,67,66,43
2014/01/01 19h,2,82,12,69,67,41
2014/01/01 20h,3.1,204,12,69,65,39
2014/01/01 21h,3.6,126,12,69,62,39
2014/01/01 22h,3.8,179,12,69,67,44
2014/01/01 23h,2.9,299,12,65,65,44
2014/01/02 0h,3.1,235,13,58,56,42
2014/01/02 1h,3.2,272,13,63,59,40
2014/01/02 2h,3,65,12,67,72,43
2014/01/02 3h,2.4,84,12,67,92,52
2014/01/02 4h,3,68,13,67,93,51
2014/01/02 5h,3.1,121,12,68,90,50
2014/01/02 6h,3.1,84,12,69,87,49
2014/01/02 7h,3.1,69,12,67,78,47
2014/01/02 8h,3,60,13,64,78,48
2014/01/02 9h,4.2,87,13,60,72,47
2014/01/02 10h,3.5,75,13,62,68,47
2014/01/02 11h,2.7,50,15,58,70,48
2014/01/02 12h,2,45,16,53,66,44
2014/01/02 13h,2.4,49,16,49,62,39
2014/01/02 14h,2.3,48,16,55,59,39
2014/01/02 15h,2.3,88,15,56,57,35
2014/01/02 16h,3.4,46,15,56,56,33
2014/01/02 17h,1.8,56,14,62,64,37
2014/01/02 18h,2,112,14,67,64,39
2014/01/02 19h,2.2,44,14,69,59,37
2014/01/02 20h,2.3,52,14,73,59,38
2014/01/02 21h,2.1,75,14,77,53,40
2014/01/02 22h,2.9,213,14,76,51,36
2014/01/02 23h,2,165,14,76,55,32
2014/01/03 0h,2.5,329,14,74,57,32
2014/01/03 1h,2.6,315,14,78,61,38
2014/01/03 2h,1.7,291,14,74,55,40
2014/01/03 3h,1.6,297,14,72,51,34
2014/01/03 4h,2.4,294,14,74,68,42
2014/01/03 5h,0.8,325,14,72,77,43
2014/01/03 6h,0.9,8.7,14,77,72,41
2014/01/03 7h,0.5,164,14,74,76,42
2014/01/03 8h,1.2,150,15,71,83,45
2014/01/03 9h,2.1,155,16,66,89,52
2014/01/03 10h,2.1,161,17,63,78,45
2014/01/03 11h,1.4,156,16,70,78,49
2014/01/03 12h,1.9,169,17,65,78,48
2014/01/03 13h,1.1,52,17,66,70,39
2014/01/03 14h,1.6,191,17,66,79,44
2014/01/03 15h,0.5,182,18,65,88,47
2014/01/03 16h,1.6,182,18,67,95,51
2014/01/03 17h,1.1,60,16,70,95,52
2014/01/03 18h,2.1,52,16,76,90,48
2014/01/03 19h,1.9,72,15,81,84,48
2014/01/03 20h,2.1,50,16,79,78,50
2014/01/03 21h,3.1,53,15,82,72,47
2014/01/03 22h,2.3,55,15,81,65,38
2014/01/03 23h,2.7,71,15,73,66,39
2014/01/04 0h,3.1,87,14,73,86,55
2014/01/04 1h,2.5,56,14,73,122,80
2014/01/04 2h,2.6,78,14,71,160,102
2014/01/04 3h,2.2,88,14,70,183,115
2014/01/04 4h,2.6,57,14,70,198,123
2014/01/04 5h,3.6,44,14,70,203,124
2014/01/04 6h,3.7,47,13,77,204,130
2014/01/04 7h,4,47,13,77,202,132
2014/01/04 8h,4,47,14,67,188,121
2014/01/04 9h,4.7,45,14,56,177,114
2014/01/04 10h,3.7,45,14,67,185,116
2014/01/04 11h,4.7,45,14,59,192,124
2014/01/04 12h,3.5,54,14,53,183,121
2014/01/04 13h,4.1,42,14,55,176,115
2014/01/04 14h,2.6,70,14,61,178,112
2014/01/04 15h,2.5,55,14,63,185,110
2014/01/04 16h,2.7,44,14,70,181,108
2014/01/04 17h,1.5,49,13,72,172,97
2014/01/04 18h,1.4,57,13,73,160,84
2014/01/04 19h,1.9,65,13,76,156,85
2014/01/04 20h,2.2,58,13,72,172,94
2014/01/04 21h,2.6,69,13,71,187,101
2014/01/04 22h,3.6,61,13,66,205,113
2014/01/04 23h,4.3,56,12,73,237,132
2014/01/05 0h,4.6,55,12,83,286,166
2014/01/05 1h,3.8,52,11,80,299,180
2014/01/05 2h,3.4,65,11,79,280,165
2014/01/05 3h,3.6,49,11,79,281,166
2014/01/05 4h,3.8,52,10,78,291,178
2014/01/05 5h,4.3,48,10,77,306,189
2014/01/05 6h,4.3,49,10,77,315,196
2014/01/05 7h,4.4,52,10,74,310,193
2014/01/05 8h,4,52,11,74,295,181
2014/01/05 9h,4.3,47,11,73,275,167
2014/01/05 10h,4.6,49,11,72,269,159
2014/01/05 11h,4.1,46,11,72,275,166
2014/01/05 12h,3.4,49,12,72,292,182
2014/01/05 13h,2.6,64,12,72,308,194
2014/01/05 14h,3.2,60,12,71,312,194
2014/01/05 15h,3.3,58,12,70,313,194
2014/01/05 16h,3.7,53,11,75,286,171
2014/01/05 17h,3.3,59,11,77,249,147
2014/01/05 18h,4,56,11,78,231,137
2014/01/05 19h,4.2,48,11,78,218,129
2014/01/05 20h,4.8,44,11,76,197,114
2014/01/05 21h,4.1,52,12,74,154,84
2014/01/05 22h,3.8,69,11,76,133,69
2014/01/05 23h,3.9,68,11,82,158,89
2014/01/06 0h,4.5,81,10,84,171,100
2014/01/06 1h,4.6,103,10,83,170,99
